acacia_button,アカシアのボタン
raw_copper_block,銅の原石ブロック
raw_gold_block,金の原石ブロック
raw_iron_block,鉄の原石ブロック
red_banner,赤色の旗
red_bed,赤色のベッド
red_candle,赤色のろうそく
red_candle_cake,赤色のろうそく付きケーキ
red_carpet,赤色のカーペット
red_concrete,赤色のコンクリート
red_concrete_powder,赤色のコンクリートパウダー
red_glazed_terracotta,赤色の彩釉テラコッタ
red_mushroom,赤色のキノコ
red_mushroom_block,赤色のキノコブロック
red_nether_brick_slab,赤いネザーレンガのハーフブロック
red_nether_brick_stairs,赤いネザーレンガの階段
red_nether_brick_wall,赤いネザーレンガの塀
red_nether_bricks,赤いネザーレンガ
red_sand,赤い砂
red_sandstone,赤い砂岩
red_sandstone_slab,赤い砂岩のハーフブロック
red_sandstone_stairs,赤い砂岩の階段
red_sandstone_wall,赤い砂岩の塀
red_shulker_box,赤色のシュルカーボックス
red_stained_glass,赤色の色付きガラス
red_stained_glass_pane,赤色の色付きガラス板
red_terracotta,赤色のテラコッタ
red_tulip,赤色のチューリップ
red_wool,赤色の羊毛
redstone_block,レッドストーンブロック
redstone_lamp,レッドストーンランプ
redstone_ore,レッドストーン鉱石
redstone_torch,レッドストーントーチ
redstone_wall_torch,壁に付けられたレッドストーントーチ
redstone_wire,レッドストーンワイヤー
repeater,レッドストーンリピーター
repeating_command_block,リピートコマンドブロック
respawn_anchor,リスポーンアンカー
rooted_dirt,根付いた土
rose_bush,バラの低木
sand,砂
sandstone,砂岩
sandstone_slab,砂岩のハーフブロック
sandstone_stairs,砂岩の階段
sandstone_wall,砂岩の塀
scaffolding,足場
sculk_sensor,スカルクセンサー
sea_lantern,シーランタン
sea_pickle,シーピクルス
seagrass,海草
set_spawn,リスポーン地点が設定されました
shroomlight,シュルームライト
shulker_box,シュルカーボックス
skeleton_skull,スケルトンの頭蓋骨
skeleton_wall_skull,壁に付けられたスケルトンの頭蓋骨
slime_block,スライムブロック
small_amethyst_bud,小さなアメジストの芽
small_dripleaf,小さなドリップリーフ
smithing_table,鍛冶台
smoker,燻製器
smooth_basalt,滑らかな玄武岩
smooth_quartz,滑らかなクォーツブロック
smooth_quartz_slab,滑らかなクォーツのハーフブロック
smooth_quartz_stairs,滑らかなクォーツの階段
smooth_red_sandstone,滑らかな赤い砂岩
smooth_red_sandstone_slab,滑らかな赤い砂岩のハーフブロック
smooth_red_sandstone_stairs,滑らかな赤い砂岩の階段
smooth_sandstone,滑らかな砂岩
smooth_sandstone_slab,滑らかな砂岩のハーフブロック
smooth_sandstone_stairs,滑らかな砂岩の階段
smooth_stone,滑らかな石
smooth_stone_slab,滑らかな石のハーフブロック
snow,雪
snow_block,雪ブロック
soul_campfire,魂の焚き火
soul_fire,魂の炎
soul_lantern,魂のランタン
soul_sand,ソウルサンド
soul_soil,ソウルソイル
soul_torch,魂の松明
soul_wall_torch,壁に付けられた魂の松明
spawn_not_valid,ベッドもしくはチャージされたリスポーンアンカーが存在しないか、あるいは塞がれています。
spawner,スポナー
sponge,スポンジ
spore_blossom,胞子の花
spruce_button,トウヒのボタン
spruce_door,トウヒのドア
spruce_fence,トウヒのフェンス
spruce_fence_gate,トウヒのフェンスゲート
spruce_leaves,トウヒの葉
spruce_log,トウヒの原木
spruce_planks,トウヒの板材
spruce_pressure_plate,トウヒの感圧板
spruce_sapling,トウヒの苗木
spruce_sign,トウヒの看板
spruce_slab,トウヒのハーフブロック
spruce_stairs,トウヒの階段
spruce_trapdoor,トウヒのトラップドア
spruce_wall_sign,壁に付けられたトウヒの看板
spruce_wood,トウヒの木
sticky_piston,粘着ピストン
stone,石
stone_brick_slab,石レンガのハーフブロック
stone_brick_stairs,石レンガの階段
stone_brick_wall,石レンガの塀
stone_bricks,石レンガ
stone_button,石のボタン
stone_pressure_plate,石の感圧板
stone_slab,石のハーフブロック
stone_stairs,石の階段
stonecutter,石切台
stripped_acacia_log,樹皮を剥いだアカシアの原木
stripped_acacia_wood,樹皮を剥いだアカシアの木
stripped_birch_log,樹皮を剥いだシラカバの原木
stripped_birch_wood,樹皮を剥いだシラカバの木
stripped_crimson_hyphae,表皮を剥いだ真紅の菌糸
stripped_crimson_stem,表皮を剥いだ真紅の幹
stripped_dark_oak_log,樹皮を剥いだダークオークの原木
stripped_dark_oak_wood,樹皮を剥いだダークオークの木
stripped_jungle_log,樹皮を剥いだジャングルの原木
stripped_jungle_wood,樹皮を剥いだジャングルの木
stripped_oak_log,樹皮を剥いだオークの原木
stripped_oak_wood,樹皮を剥いだオークの木
stripped_spruce_log,樹皮を剥いだトウヒの原木
stripped_spruce_wood,樹皮を剥いだトウヒの木
stripped_warped_hyphae,表皮を剥いだ歪んだ菌糸
stripped_warped_stem,表皮を剥いだ歪んだ幹
structure_block,ストラクチャーブロック
structure_void,ストラクチャーヴォイド
sugar_cane,サトウキビ
sunflower,ヒマワリ
sweet_berry_bush,スイートベリーの低木
tall_grass,背の高い草
tall_seagrass,背の高い海草
target,的
terracotta,テラコッタ
tinted_glass,遮光ガラス
tnt,TNT
torch,松明
trapped_chest,トラップチェスト
tripwire,トリップワイヤー
tripwire_hook,トリップワイヤーフック
tube_coral,クダサンゴ
tube_coral_block,クダサンゴブロック
tube_coral_fan,クダウチワサンゴ
tube_coral_wall_fan,壁付きのクダウチワサンゴ
tuff,凝灰岩
turtle_egg,カメの卵
twisting_vines,ねじれツタ
twisting_vines_plant,ねじれツタのつる
vine,ツタ
void_air,奈落の空気
wall_torch,壁に付けられた松明
warped_button,歪んだボタン
warped_door,歪んだドア
warped_fence,歪んだフェンス
warped_fence_gate,歪んだフェンスゲート
warped_fungus,歪んだキノコ
warped_hyphae,歪んだ菌糸
warped_nylium,歪んだナイリウム
warped_planks,歪んだ板材
warped_pressure_plate,歪んだ感圧板
warped_roots,歪んだ根
warped_sign,歪んだ看板
warped_slab,歪んだハーフブロック
warped_stairs,歪んだ階段
warped_stem,歪んだ幹
warped_trapdoor,歪んだトラップドア
warped_wall_sign,壁に付けられた歪んだ看板
warped_wart_block,歪んだウォートブロック
water,水
water_cauldron,水入りの大釜
waxed_copper_block,錆止めされた銅ブロック
waxed_cut_copper,錆止めされた切り込み入りの銅
waxed_cut_copper_slab,錆止めされた切り込み入りの銅のハーフブロック
waxed_cut_copper_stairs,錆止めされた切り込み入りの銅の階段
waxed_exposed_copper,錆止めされた風化した銅
waxed_exposed_cut_copper,錆止めされた風化した切り込み入りの銅
waxed_exposed_cut_copper_slab,錆止めされた風化した切り込み入りの銅のハーフブロック
waxed_exposed_cut_copper_stairs,錆止めされた風化した切り込み入りの銅の階段
waxed_oxidized_copper,錆止めされた酸化した銅
waxed_oxidized_cut_copper,錆止めされた酸化した切り込み入りの銅
waxed_oxidized_cut_copper_slab,錆止めされた酸化した切り込み入りの銅のハーフブロック
waxed_oxidized_cut_copper_stairs,錆止めされた酸化した切り込み入りの銅の階段
waxed_weathered_copper,錆止めされた錆びた銅
waxed_weathered_cut_copper,錆止めされた錆びた切り込み入りの銅
waxed_weathered_cut_copper_slab,錆止めされた錆びた切り込み入りの銅のハーフブロック
waxed_weathered_cut_copper_stairs,錆止めされた錆びた切り込み入りの銅の階段
weathered_copper,錆びた銅
weathered_cut_copper,錆びた切り込み入りの銅
weathered_cut_copper_slab,錆びた切り込み入りの銅のハーフブロック
weathered_cut_copper_stairs,錆びた切り込み入りの銅の階段
weeping_vines,しだれツタ
weeping_vines_plant,しだれツタのつる
wet_sponge,濡れたスポンジ
wheat,小麦
white_banner,白色の旗
white_bed,白色のベッド
white_candle,白色のろうそく
white_candle_cake,白色のろうそく付きケーキ
white_carpet,白色のカーペット
white_concrete,白色のコンクリート
white_concrete_powder,白色のコンクリートパウダー
white_glazed_terracotta,白色の彩釉テラコッタ
white_shulker_box,白色のシュルカーボックス
white_stained_glass,白色の色付きガラス
white_stained_glass_pane,白色の色付きガラス板
white_terracotta,白色のテラコッタ
white_tulip,白色のチューリップ
white_wool,白色の羊毛
wither_rose,ウィザーローズ
wither_skeleton_skull,ウィザースケルトンの頭蓋骨
wither_skeleton_wall_skull,壁に付けられたウィザースケルトンの頭蓋骨
yellow_banner,黄色の旗
yellow_bed,黄色のベッド
yellow_candle,黄色のろうそく
yellow_candle_cake,黄色のろうそく付きケーキ
yellow_carpet,黄色のカーペット
yellow_concrete,黄色のコンクリート
yellow_concrete_powder,黄色のコンクリートパウダー
yellow_glazed_terracotta,黄色の彩釉テラコッタ
yellow_shulker_box,黄色のシュルカーボックス
yellow_stained_glass,黄色の色付きガラス
yellow_stained_glass_pane,黄色の色付きガラス板
yellow_terracotta,黄色のテラコッタ
yellow_wool,黄色の羊毛
zombie_head,ゾンビの頭
zombie_wall_head,壁に付けられたゾンビの頭
acacia_boat,アカシアのボート
amethyst_shard,アメジストの欠片
apple,リンゴ
armor_stand,防具立て
arrow,矢
axolotl_bucket,ウーパールーパー入りバケツ
axolotl_spawn_egg,ウーパールーパーのスポーンエッグ
baked_potato,ベイクドポテト
bat_spawn_egg,コウモリのスポーンエッグ
bee_spawn_egg,ミツバチのスポーンエッグ
beef,生の牛肉
beetroot,ビートルート
beetroot_seeds,ビートルートの種
beetroot_soup,ビートルートスープ
birch_boat,シラカバのボート
black_dye,黒色の染料
blaze_powder,ブレイズパウダー
blaze_rod,ブレイズロッド
blaze_spawn_egg,ブレイズのスポーンエッグ
blue_dye,青色の染料
bone,骨
bone_meal,骨粉
book,本
bow,弓
bowl,ボウル
bread,パン
brewing_stand,醸造台
brick,レンガ
brown_dye,茶色の染料
bucket,バケツ
bundle,バンドル
bundle_fullness,%s／%s
carrot,ニンジン
carrot_on_a_stick,ニンジン付きの棒
cat_spawn_egg,ネコのスポーンエッグ
cauldron,大釜
cave_spider_spawn_egg,洞窟グモのスポーンエッグ
chainmail_boots,チェーンのブーツ
chainmail_chestplate,チェーンのチェストプレート
chainmail_helmet,チェーンのヘルメット
chainmail_leggings,チェーンのレギンス
charcoal,木炭
chest_minecart,チェスト付きトロッコ
chicken,生の鶏肉
chicken_spawn_egg,ニワトリのスポーンエッグ
chorus_fruit,コーラスフルーツ
clay_ball,粘土玉
clock,時計
coal,石炭
cocoa_beans,カカオ豆
cod,生鱈
cod_bucket,タラ入りバケツ
cod_spawn_egg,タラのスポーンエッグ
command_block_minecart,コマンドブロック付きトロッコ
compass,コンパス
cooked_beef,ステーキ
cooked_chicken,焼き鳥
cooked_cod,焼き鱈
cooked_mutton,焼き羊肉
cooked_porkchop,焼き豚
cooked_rabbit,焼き兎肉
cooked_salmon,焼き鮭
cookie,クッキー
copper_ingot,銅インゴット
cow_spawn_egg,ウシのスポーンエッグ
creeper_banner_pattern,旗の模様
creeper_banner_pattern_desc,クリーパー模様
creeper_spawn_egg,クリーパーのスポーンエッグ
crossbow,クロスボウ
crossbow_projectile,発射物：
cyan_dye,青緑色の染料
dark_oak_boat,ダークオークのボート
debug_stick,デバッグ棒
debug_stick_empty,%sはプロパティを持っていません
debug_stick_select,「%s」を選択しました（%s）
debug_stick_update,「%s」を%sに変更しました
diamond,ダイヤモンド
diamond_axe,ダイヤモンドの斧
diamond_boots,ダイヤモンドのブーツ
diamond_chestplate,ダイヤモンドのチェストプレート
diamond_helmet,ダイヤモンドのヘルメット
diamond_hoe,ダイヤモンドのクワ
diamond_horse_armor,ダイヤモンドの馬鎧
diamond_leggings,ダイヤモンドのレギンス
diamond_pickaxe,ダイヤモンドのツルハシ
diamond_shovel,ダイヤモンドのシャベル
diamond_sword,ダイヤモンドの剣
dolphin_spawn_egg,イルカのスポーンエッグ
donkey_spawn_egg,ロバのスポーンエッグ
dragon_breath,ドラゴンブレス
dried_kelp,乾燥した昆布
drowned_spawn_egg,ドラウンドのスポーンエッグ
egg,卵
elder_guardian_spawn_egg,エルダーガーディアンのスポーンエッグ
elytra,エリトラ
emerald,エメラルド
enchanted_book,エンチャントの本
enchanted_golden_apple,エンチャントされた金のリンゴ
end_crystal,エンドクリスタル
ender_eye,エンダーアイ
ender_pearl,エンダーパール
enderman_spawn_egg,エンダーマンのスポーンエッグ
endermite_spawn_egg,エンダーマイトのスポーンエッグ
evoker_spawn_egg,エヴォーカーのスポーンエッグ
experience_bottle,エンチャントの瓶
feather,羽根
fermented_spider_eye,発酵したクモの目
filled_map,地図
fire_charge,ファイヤーチャージ
firework_rocket,ロケット花火
firework_rocket_flight,飛翔時間：
firework_star,花火の星
firework_star_black,黒色
firework_star_blue,青色
firework_star_brown,茶色
firework_star_custom_color,カスタム
firework_star_cyan,青緑色
firework_star_fade_to,色変化：
firework_star_flicker,点滅
firework_star_gray,灰色
firework_star_green,緑色
firework_star_light_blue,空色
firework_star_light_gray,薄灰色
firework_star_lime,黄緑色
firework_star_magenta,赤紫色
firework_star_orange,橙色
firework_star_pink,桃色
firework_star_purple,紫色
firework_star_red,赤色
firework_star_shape,不明な形状
firework_star_shape_burst,破裂
firework_star_shape_creeper,クリーパー型
firework_star_shape_large_ball,大玉
firework_star_shape_small_ball,小玉
firework_star_shape_star,星型
firework_star_trail,流星
firework_star_white,白色
firework_star_yellow,黄色
fishing_rod,釣竿
flint,火打石
flint_and_steel,火打石と打ち金
flower_banner_pattern,旗の模様
flower_banner_pattern_desc,花模様
flower_pot,植木鉢
fox_spawn_egg,キツネのスポーンエッグ
furnace_minecart,かまど付きトロッコ
ghast_spawn_egg,ガストのスポーンエッグ
ghast_tear,ガストの涙
glass_bottle,ガラス瓶
glistering_melon_slice,きらめくスイカの薄切り
globe_banner_pattern,旗の模様
globe_banner_pattern_desc,地球の模様
glow_berries,グロウベリー
glow_ink_sac,輝くイカスミ
glow_item_frame,輝く額縁
glow_squid_spawn_egg,ヒカリイカのスポーンエッグ
glowstone_dust,グロウストーンダスト
goat_spawn_egg,ヤギのスポーンエッグ
gold_ingot,金インゴット
gold_nugget,金塊
golden_apple,金のリンゴ
golden_axe,金の斧
golden_boots,金のブーツ
golden_carrot,金のニンジン
golden_chestplate,金のチェストプレート
golden_helmet,金のヘルメット
golden_hoe,金のクワ
golden_horse_armor,金の馬鎧
golden_leggings,金のレギンス
golden_pickaxe,金のツルハシ
golden_shovel,金のシャベル
golden_sword,金の剣
gray_dye,灰色の染料
green_dye,緑色の染料
guardian_spawn_egg,ガーディアンのスポーンエッグ
gunpowder,火薬
heart_of_the_sea,海洋の心
hoglin_spawn_egg,ホグリンのスポーンエッグ
honey_bottle,ハチミツ入りの瓶
honeycomb,ハニカム
hopper_minecart,ホッパー付きトロッコ
horse_spawn_egg,ウマのスポーンエッグ
husk_spawn_egg,ハスクのスポーンエッグ
ink_sac,イカスミ
iron_axe,鉄の斧
iron_boots,鉄のブーツ
iron_chestplate,鉄のチェストプレート
iron_helmet,鉄のヘルメット
iron_hoe,鉄のクワ
iron_horse_armor,鉄の馬鎧
iron_ingot,鉄インゴット
iron_leggings,鉄のレギンス
iron_nugget,鉄塊
iron_pickaxe,鉄のツルハシ
iron_shovel,鉄のシャベル
iron_sword,鉄の剣
item_frame,額縁
jungle_boat,ジャングルのボート
knowledge_book,知恵の本
lapis_lazuli,ラピスラズリ
lava_bucket,溶岩入りバケツ
lead,リード
leather,革
leather_boots,革のブーツ
leather_chestplate,革の上着
leather_helmet,革の帽子
leather_horse_armor,革の馬鎧
leather_leggings,革のズボン
light_blue_dye,空色の染料
light_gray_dye,薄灰色の染料
lime_dye,黄緑色の染料
lingering_potion,残留ポーション
lingering_potion_effect_awkward,奇妙な残留ポーション
lingering_potion_effect_empty,クラフト不可能な残留ポーション
lingering_potion_effect_fire_resistance,耐火の残留ポーション
lingering_potion_effect_harming,負傷の残留ポーション
lingering_potion_effect_healing,治癒の残留ポーション
lingering_potion_effect_invisibility,透明化の残留ポーション
lingering_potion_effect_leaping,跳躍の残留ポーション
lingering_potion_effect_levitation,浮遊の残留ポーション
lingering_potion_effect_luck,幸運の残留ポーション
lingering_potion_effect_mundane,ありふれた残留ポーション
lingering_potion_effect_night_vision,暗視の残留ポーション
lingering_potion_effect_poison,毒の残留ポーション
lingering_potion_effect_regeneration,再生の残留ポーション
lingering_potion_effect_slow_falling,低速落下の残留ポーション
lingering_potion_effect_slowness,鈍化の残留ポーション
lingering_potion_effect_strength,力の残留ポーション
lingering_potion_effect_swiftness,俊敏の残留ポーション
lingering_potion_effect_thick,濃厚な残留ポーション
lingering_potion_effect_turtle_master,タートルマスターの残留ポーション
lingering_potion_effect_water,水入り残留瓶
lingering_potion_effect_water_breathing,水中呼吸の残留ポーション
lingering_potion_effect_weakness,弱化の残留ポーション
llama_spawn_egg,ラマのスポーンエッグ
lodestone_compass,ロードストーンコンパス
magenta_dye,赤紫色の染料
magma_cream,マグマクリーム
magma_cube_spawn_egg,マグマキューブのスポーンエッグ
map,白紙の地図
melon_seeds,スイカの種
melon_slice,スイカの薄切り
milk_bucket,ミルク入りバケツ
minecart,トロッコ
mojang_banner_pattern,旗の模様
mojang_banner_pattern_desc,何かの模様
mooshroom_spawn_egg,ムーシュルームのスポーンエッグ
mule_spawn_egg,ラバのスポーンエッグ
mushroom_stew,キノコシチュー
music_disc_11,レコード
music_disc_11_desc,C418 - 11
music_disc_13,レコード
music_disc_13_desc,C418 - 13
music_disc_blocks,レコード
music_disc_blocks_desc,C418 - blocks
music_disc_cat,レコード
music_disc_cat_desc,C418 - cat
music_disc_chirp,レコード
music_disc_chirp_desc,C418 - chirp
music_disc_far,レコード
music_disc_far_desc,C418 - far
music_disc_mall,レコード
music_disc_mall_desc,C418 - mall
music_disc_mellohi,レコード
music_disc_mellohi_desc,C418 - mellohi
music_disc_otherside,レコード
music_disc_otherside_desc,レナ・レーン - otherside
music_disc_pigstep,レコード
music_disc_pigstep_desc,レナ・レーン - Pigstep
music_disc_stal,レコード
music_disc_stal_desc,C418 - stal
music_disc_strad,レコード
music_disc_strad_desc,C418 - strad
music_disc_wait,レコード
music_disc_wait_desc,C418 - wait
music_disc_ward,レコード
music_disc_ward_desc,C418 - ward
mutton,生の羊肉
name_tag,名札
nautilus_shell,オウムガイの殻
nether_brick,ネザーレンガ
nether_star,ネザースター
nether_wart,ネザーウォート
netherite_axe,ネザライトの斧
netherite_boots,ネザライトのブーツ
netherite_chestplate,ネザライトのチェストプレート
netherite_helmet,ネザライトのヘルメット
netherite_hoe,ネザライトのクワ
netherite_ingot,ネザライトインゴット
netherite_leggings,ネザライトのレギンス
netherite_pickaxe,ネザライトのツルハシ
netherite_scrap,ネザライトの欠片
netherite_shovel,ネザライトのシャベル
netherite_sword,ネザライトの剣
oak_boat,オークのボート
ocelot_spawn_egg,ヤマネコのスポーンエッグ
orange_dye,橙色の染料
painting,絵画
panda_spawn_egg,パンダのスポーンエッグ
paper,紙
parrot_spawn_egg,オウムのスポーンエッグ
phantom_membrane,ファントムの皮膜
phantom_spawn_egg,ファントムのスポーンエッグ
pig_spawn_egg,ブタのスポーンエッグ
piglin_banner_pattern,旗の模様
piglin_banner_pattern_desc,ブタの鼻の模様
piglin_brute_spawn_egg,ピグリンブルートのスポーンエッグ
piglin_spawn_egg,ピグリンのスポーンエッグ
pillager_spawn_egg,ピリジャーのスポーンエッグ
pink_dye,桃色の染料
poisonous_potato,青くなったジャガイモ
polar_bear_spawn_egg,シロクマのスポーンエッグ
popped_chorus_fruit,焼いたコーラスフルーツ
porkchop,生の豚肉
potato,ジャガイモ
potion,ポーション
potion_effect_awkward,奇妙なポーション
potion_effect_empty,クラフト不可能なポーション
potion_effect_fire_resistance,耐火のポーション
potion_effect_harming,負傷のポーション
potion_effect_healing,治癒のポーション
potion_effect_invisibility,透明化のポーション
potion_effect_leaping,跳躍のポーション
potion_effect_levitation,浮遊のポーション
potion_effect_luck,幸運のポーション
potion_effect_mundane,ありふれたポーション
potion_effect_night_vision,暗視のポーション
potion_effect_poison,毒のポーション
potion_effect_regeneration,再生のポーション
potion_effect_slow_falling,低速落下のポーション
potion_effect_slowness,鈍化のポーション
potion_effect_strength,力のポーション
potion_effect_swiftness,俊敏のポーション
potion_effect_thick,濃厚なポーション
potion_effect_turtle_master,タートルマスターのポーション
potion_effect_water,水入り瓶
potion_effect_water_breathing,水中呼吸のポーション
potion_effect_weakness,弱化のポーション
powder_snow_bucket,粉雪入りバケツ
prismarine_crystals,プリズマリンクリスタル
prismarine_shard,プリズマリンの欠片
pufferfish,フグ
pufferfish_bucket,フグ入りバケツ
pufferfish_spawn_egg,フグのスポーンエッグ
pumpkin_pie,パンプキンパイ
pumpkin_seeds,カボチャの種
purple_dye,紫色の染料
quartz,ネザークォーツ
rabbit,生の兎肉
rabbit_foot,ウサギの足
rabbit_hide,ウサギの皮
rabbit_spawn_egg,ウサギのスポーンエッグ
rabbit_stew,ウサギシチュー
ravager_spawn_egg,ラヴェジャーのスポーンエッグ
raw_copper,銅の原石
raw_gold,金の原石
raw_iron,鉄の原石
red_dye,赤色の染料
redstone,レッドストーンダスト
rotten_flesh,腐った肉
saddle,鞍
salmon,生鮭
salmon_bucket,サケ入りバケツ
salmon_spawn_egg,サケのスポーンエッグ
scute,カメのウロコ
shears,ハサミ
sheep_spawn_egg,ヒツジのスポーンエッグ
shield,盾
shield_black,黒色の盾
shield_blue,青色の盾
shield_brown,茶色の盾
shield_cyan,青緑色の盾
shield_gray,灰色の盾
shield_green,緑色の盾
shield_light_blue,空色の盾
shield_light_gray,薄灰色の盾
shield_lime,黄緑色の盾
shield_magenta,赤紫色の盾
shield_orange,橙色の盾
shield_pink,桃色の盾
shield_purple,紫色の盾
shield_red,赤色の盾
shield_white,白色の盾
shield_yellow,黄色の盾
shulker_shell,シュルカーの殻
shulker_spawn_egg,シュルカーのスポーンエッグ
sign,看板
silverfish_spawn_egg,シルバーフィッシュのスポーンエッグ
skeleton_horse_spawn_egg,スケルトンホースのスポーンエッグ
skeleton_spawn_egg,スケルトンのスポーンエッグ
skull_banner_pattern,旗の模様
skull_banner_pattern_desc,骸骨模様
slime_ball,スライムボール
slime_spawn_egg,スライムのスポーンエッグ
snowball,雪玉
spectral_arrow,光の矢
spider_eye,クモの目
spider_spawn_egg,クモのスポーンエッグ
splash_potion,スプラッシュポーション
splash_potion_effect_awkward,奇妙なスプラッシュポーション
splash_potion_effect_empty,クラフト不可能なスプラッシュポーション
splash_potion_effect_fire_resistance,耐火のスプラッシュポーション
splash_potion_effect_harming,負傷のスプラッシュポーション
splash_potion_effect_healing,治癒のスプラッシュポーション
splash_potion_effect_invisibility,透明化のスプラッシュポーション
splash_potion_effect_leaping,跳躍のスプラッシュポーション
splash_potion_effect_levitation,浮遊のスプラッシュポーション
splash_potion_effect_luck,幸運のスプラッシュポーション
splash_potion_effect_mundane,ありふれたスプラッシュポーション
splash_potion_effect_night_vision,暗視のスプラッシュポーション
splash_potion_effect_poison,毒のスプラッシュポーション
splash_potion_effect_regeneration,再生のスプラッシュポーション
splash_potion_effect_slow_falling,低速落下のスプラッシュポーション
splash_potion_effect_slowness,鈍化のスプラッシュポーション
splash_potion_effect_strength,力のスプラッシュポーション
splash_potion_effect_swiftness,俊敏のスプラッシュポーション
splash_potion_effect_thick,濃厚なスプラッシュポーション
splash_potion_effect_turtle_master,タートルマスターのスプラッシュポーション
splash_potion_effect_water,水入りスプラッシュ瓶
splash_potion_effect_water_breathing,水中呼吸のスプラッシュポーション
splash_potion_effect_weakness,弱化のスプラッシュポーション
spruce_boat,トウヒのボート
spyglass,望遠鏡
squid_spawn_egg,イカのスポーンエッグ
stick,棒
stone_axe,石の斧
stone_hoe,石のクワ
stone_pickaxe,石のツルハシ
stone_shovel,石のシャベル
stone_sword,石の剣
stray_spawn_egg,ストレイのスポーンエッグ
strider_spawn_egg,ストライダーのスポーンエッグ
string,糸
sugar,砂糖
suspicious_stew,怪しげなシチュー
sweet_berries,スイートベリー
tipped_arrow,効能付きの矢
tipped_arrow_effect_awkward,奇妙な矢
tipped_arrow_effect_empty,クラフト不可能な効能付きの矢
tipped_arrow_effect_fire_resistance,耐火の矢
tipped_arrow_effect_harming,負傷の矢
tipped_arrow_effect_healing,治癒の矢
tipped_arrow_effect_invisibility,透明化の矢
tipped_arrow_effect_leaping,跳躍の矢
tipped_arrow_effect_levitation,浮遊の矢
tipped_arrow_effect_luck,幸運の矢
tipped_arrow_effect_mundane,ありふれた矢
tipped_arrow_effect_night_vision,暗視の矢
tipped_arrow_effect_poison,毒の矢
tipped_arrow_effect_regeneration,再生の矢
tipped_arrow_effect_slow_falling,低速落下の矢
tipped_arrow_effect_slowness,鈍化の矢
tipped_arrow_effect_strength,力の矢
tipped_arrow_effect_swiftness,俊敏の矢
tipped_arrow_effect_thick,濃厚な矢
tipped_arrow_effect_turtle_master,タートルマスターの矢
tipped_arrow_effect_water,水の矢
tipped_arrow_effect_water_breathing,水中呼吸の矢
tipped_arrow_effect_weakness,弱化の矢
tnt_minecart,TNT付きのトロッコ
totem_of_undying,不死のトーテム
trader_llama_spawn_egg,商人のラマのスポーンエッグ
trident,トライデント
tropical_fish,熱帯魚
tropical_fish_bucket,熱帯魚入りバケツ
tropical_fish_spawn_egg,熱帯魚のスポーンエッグ
turtle_helmet,カメの甲羅
turtle_spawn_egg,カメのスポーンエッグ
vex_spawn_egg,ヴェックスのスポーンエッグ
villager_spawn_egg,村人のスポーンエッグ
vindicator_spawn_egg,ヴィンディケーターのスポーンエッグ
wandering_trader_spawn_egg,行商人のスポーンエッグ
warped_fungus_on_a_stick,歪んだキノコ付きの棒
water_bucket,水入りバケツ
wheat,小麦
wheat_seeds,小麦の種
white_dye,白色の染料
witch_spawn_egg,ウィッチのスポーンエッグ
wither_skeleton_spawn_egg,ウィザースケルトンのスポーンエッグ
wolf_spawn_egg,オオカミのスポーンエッグ
wooden_axe,木の斧
wooden_hoe,木のクワ
wooden_pickaxe,木のツルハシ
wooden_shovel,木のシャベル
wooden_sword,木の剣
writable_book,本と羽根ペン
written_book,記入済みの本
yellow_dye,黄色の染料
zoglin_spawn_egg,ゾグリンのスポーンエッグ
zombie_horse_spawn_egg,ゾンビホースのスポーンエッグ
zombie_spawn_egg,ゾンビのスポーンエッグ
zombie_villager_spawn_egg,村人ゾンビのスポーンエッグ
zombified_piglin_spawn_egg,ゾンビピグリンのスポーンエッグ
